"","symbol","date","open","high","low","close","volume","adjusted"
"100","CVX",2024-11-18,160.559997558594,161.520004272461,159.070007324219,160.759994506836,6075400,160.759994506836
"101","CMG",2024-11-18,58.6800003051758,59.3800010681152,58.4599990844727,58.810001373291,5885300,58.810001373291
"102","CB",2024-11-18,286.459991455078,289.989990234375,286.019989013672,288.730010986328,1126400,288.730010986328
"103","CHD",2024-11-18,108.699996948242,110.410003662109,108.309997558594,110.290000915527,1361700,110.290000915527
"104","CI",2024-11-18,321.25,323.649993896484,320.549987792969,322.450012207031,1194400,322.450012207031
"105","CINF",2024-11-18,151.600006103516,152.850006103516,150.820007324219,152.130004882812,420200,152.130004882812
"106","CTAS",2024-11-18,215.320007324219,218.289993286133,214.660003662109,216.199996948242,1610300,216.199996948242
"107","CSCO",2024-11-18,57.5499992370605,57.9900016784668,57.2299995422363,57.310001373291,23769300,57.310001373291
"108","C",2024-11-18,68.6800003051758,69.2799987792969,68.370002746582,69,11519000,69
"109","CFG",2024-11-18,46.5999984741211,46.9700012207031,46.4500007629395,46.5699996948242,4758400,46.5699996948242
"110","CLX",2024-11-18,167.410003662109,169.210006713867,167.050003051758,169.100006103516,1364000,169.100006103516
"111","CME",2024-11-18,225.470001220703,228.259994506836,225.020004272461,227.559997558594,1347200,227.559997558594
"112","CMS",2024-11-18,68.2099990844727,69.0199966430664,68,68.5,2284200,68.5
"113","KO",2024-11-18,61.8499984741211,62.1399993896484,61.560001373291,61.8600006103516,16062100,61.8600006103516
"114","CTSH",2024-11-18,77.2200012207031,77.8499984741211,76.8300018310547,76.870002746582,4412600,76.870002746582
"115","CL",2024-11-18,92.9499969482422,95.129997253418,92.9400024414062,94.620002746582,4487700,94.620002746582
"116","CMCSA",2024-11-18,42.8499984741211,43.2200012207031,42.75,43,19100900,43
"117","CAG",2024-11-18,26.8600006103516,27.0300006866455,26.5599994659424,26.6100006103516,5860900,26.6100006103516
"118","COP",2024-11-18,113.389999389648,114.459999084473,112.75,113.76000213623,5089000,113.76000213623
"119","ED",2024-11-18,96.0400009155273,96.9400024414062,95.8199996948242,96.4499969482422,1838700,96.4499969482422
"120","STZ",2024-11-18,236.860000610352,238.399993896484,236.169998168945,238.059997558594,978800,238.059997558594
"121","CEG",2024-11-18,225.990005493164,232.039993286133,221.179992675781,230.279998779297,3293200,230.279998779297
"122","COO",2024-11-18,99.2799987792969,99.9599990844727,98.9100036621094,99.4800033569336,895900,99.4800033569336
"123","CPRT",2024-11-18,56.8699989318848,57.0900001525879,56.5400009155273,56.6300010681152,3932600,56.6300010681152
"124","GLW",2024-11-18,46.5499992370605,46.689998626709,46.0099983215332,46.439998626709,3590000,46.439998626709
"125","CPAY",2024-11-18,363.459991455078,366.970001220703,360.679992675781,364.570007324219,566500,364.570007324219
"126","CTVA",2024-11-18,55.4199981689453,57.0499992370605,55.310001373291,56.9900016784668,4190700,56.9900016784668
