"","symbol","date","open","high","low","close","volume","adjusted"
"52","INTC",2024-12-02,24.8400001525879,25.4799995422363,23.4400005340576,23.9300003051758,150234100,23.9300003051758
"53","INTU",2024-12-02,637.049987792969,640.390014648438,631.669982910156,634.070007324219,1502100,634.070007324219
"54","ISRG",2024-12-02,546.299987792969,546.450012207031,540.200012207031,542.849975585938,1005300,542.849975585938
"55","KDP",2024-12-02,32.7299995422363,32.8600006103516,32.1699981689453,32.5400009155273,10197700,32.5400009155273
"56","KLAC",2024-12-02,645.010009765625,669.070007324219,645,666.030029296875,1380200,666.030029296875
"57","KHC",2024-12-02,31.7399997711182,31.8700008392334,31.4099998474121,31.6100006103516,13136500,31.6100006103516
"58","LRCX",2024-12-02,73.879997253418,78.8600006103516,73.8600006103516,78.5100021362305,20054500,78.5100021362305
"59","LIN",2024-12-02,460.989990234375,461.040008544922,456.450012207031,459.690002441406,1801800,459.690002441406
"60","LULU",2024-12-02,322.910003662109,337.299987792969,321.829986572266,334.399993896484,2329300,334.399993896484
"61","MAR",2024-12-02,288.970001220703,289.940002441406,284.640014648438,286.239990234375,1574300,286.239990234375
"62","MRVL",2024-12-02,97.370002746582,97.629997253418,94.9499969482422,96.8600006103516,17417100,96.8600006103516
"63","MELI",2024-12-02,1988,2000,1931.7900390625,1952.43994140625,384800,1952.43994140625
"64","META",2024-12-02,577.5,594.5,575.570007324219,592.830017089844,12512700,592.830017089844
"65","MCHP",2024-12-02,67.9899978637695,71.0400009155273,67.9899978637695,70.3099975585938,7007300,70.3099975585938
"66","MU",2024-12-02,97.5999984741211,100.089996337891,97.5299987792969,98.5500030517578,16507300,98.5500030517578
"67","MSFT",2024-12-02,421.570007324219,433,421.309997558594,430.980010986328,20189300,430.980010986328
"68","MRNA",2024-12-02,43.3300018310547,44.6590003967285,42.0699996948242,44.2599983215332,6826400,44.2599983215332
"69","MDLZ",2024-12-02,65.0599975585938,65.2699966430664,64.3899993896484,65.2300033569336,9985400,65.2300033569336
"70","MDB",2024-12-02,323,332.276000976562,322.019989013672,325.149993896484,1278900,325.149993896484
"71","MNST",2024-12-02,55.3699989318848,56.0200004577637,54.9500007629395,54.9799995422363,5682800,54.9799995422363
"72","NFLX",2024-12-02,887.510009765625,902.340026855469,884.119995117188,897.739990234375,2386400,897.739990234375
"73","NVDA",2024-12-02,138.830001831055,140.449996948242,137.820007324219,138.630004882812,171228500,138.630004882812
"74","NXPI",2024-12-02,229.009994506836,236.070007324219,228.179992675781,233.610000610352,2796400,233.610000610352
"75","ORLY",2024-12-02,1243.21997070312,1255.40002441406,1240.35998535156,1246.81994628906,424400,1246.81994628906
"76","ODFL",2024-12-02,226.429992675781,226.429992675781,223.559997558594,224.850006103516,1294900,224.850006103516
"77","ON",2024-12-02,71,74.5199966430664,70.75,73.9499969482422,6457100,73.9499969482422
"78","PCAR",2024-12-02,117,117.139999389648,115.680000305176,116.23999786377,1651800,116.23999786377
"79","PANW",2024-12-02,390.239990234375,392.309997558594,386.519989013672,390.170013427734,2323000,390.170013427734
"80","PAYX",2024-12-02,146.369995117188,146.490005493164,144.619995117188,145.449996948242,1265700,145.449996948242
"81","PYPL",2024-12-02,86.5500030517578,87.4700012207031,85.8399963378906,86.5299987792969,7269100,86.5299987792969
"82","PDD",2024-12-02,96.879997253418,99.1699981689453,96.5199966430664,98.9800033569336,10645100,98.9800033569336
"83","PEP",2024-12-02,163.320007324219,163.649993896484,161.759994506836,163.050003051758,4967400,163.050003051758
"84","QCOM",2024-12-02,158.380004882812,163.369995117188,158.380004882812,163.029998779297,9809100,163.029998779297
"85","REGN",2024-12-02,750.010009765625,763.890014648438,748.409973144531,762.340026855469,896200,762.340026855469
"86","ROP",2024-12-02,566.440002441406,569.289978027344,561.940002441406,568.630004882812,595900,568.630004882812
"87","ROST",2024-12-02,155.160003662109,156.860000610352,154.419998168945,156.360000610352,3353400,156.360000610352
"88","SBUX",2024-12-02,102,102.209999084473,99.870002746582,101.51000213623,6103200,101.51000213623
"89","SMCI",2024-12-02,37.7799987792969,44.1500015258789,35.3199996948242,42,260840700,42
"90","SNPS",2024-12-02,555.929992675781,566.940002441406,554.840026855469,565.929992675781,742500,565.929992675781
"91","TTWO",2024-12-02,188.360000610352,188.630004882812,187,187.949996948242,1257300,187.949996948242
"92","TMUS",2024-12-02,246.940002441406,247.820007324219,243.509994506836,244.820007324219,3263300,244.820007324219
"93","TSLA",2024-12-02,352.380004882812,360,351.149993896484,357.089996337891,77527800,357.089996337891
"94","TXN",2024-12-02,199.779998779297,202.410003662109,198.479995727539,201.779998779297,6373900,201.779998779297
"95","TTD",2024-12-02,128.589996337891,136.139999389648,127.5,135.160003662109,5671800,135.160003662109
"96","VRSK",2024-12-02,295.170013427734,295.399993896484,290.459991455078,292.700012207031,468000,292.700012207031
"97","VRTX",2024-12-02,467.480010986328,468.190002441406,463.049987792969,465.730010986328,960000,465.730010986328
"98","WBD",2024-12-02,10.4799995422363,10.6099996566772,10.2799997329712,10.5600004196167,25613100,10.5600004196167
"99","WDAY",2024-12-02,246.449996948242,253.289993286133,246.270004272461,251.460006713867,2672900,251.460006713867
"100","XEL",2024-12-02,72.4899978637695,72.5899963378906,71.129997253418,71.1999969482422,2718000,71.1999969482422
"101","ZS",2024-12-02,207.550003051758,212.345001220703,206.169998168945,208.509994506836,5376500,208.509994506836
